,,,,,,,,,,,,,,,index,trial_id,registry,registration_date,start_date,retrospective_registration,sponsor,recruitment_status,phase,study_type,countries,title,acronym,study_category,intervention,intervention_list,enrollment,primary_completion_date,full_completion_date,registy_url,results_type,results_published_date,results_url,last_updated,cross_registration
3323,NCT04342169,ClinicalTrials.gov,7.04.2020,4.04.2020,TRUE,University,of,Utah,Recruiting,Phase,2,Interventional,United,States,University,of,Utah,COVID-19,Hydrochloroquine,Trial,,Drug,Hydroxychloroquine,Hydroxychloroquine,400,21.04.2020,22.04.2020,https://clinicaltrials.gov/show/NCT04342169,No,Results,No,Results,No,Results,31.08.2020,None,,,
3331,NCT04353271,ClinicalTrials.gov,25.03.2020,17.04.2020,FALSE,University,of,South,Alabama,Not,Recruiting,Phase,2/Phase,3,Interventional,United,States,Trial,of,Hydroxychloroquine,In,Covid-19,Kinetics,THICK,Drug,Hydroxychloroquine,Hydroxychloroquine,58,8.07.2020,8.07.2020,https://clinicaltrials.gov/show/NCT04353271,No,Results,No,Results,No,Results,31.08.2020,None
3334,NCT04356937,ClinicalTrials.gov,19.04.2020,20.04.2020,FALSE,Massachusetts,General,Hospital,Not,Recruiting,Phase,3,Interventional,United,States,Efficacy,of,Tocilizumab,on,Patients,With,COVID-19,,Drug,Tocilizumab,Tocilizumab,243,1.10.2020,1.10.2020,https://clinicaltrials.gov/show/NCT04356937,No,Results,No,Results,No,Results,31.08.2020,None,
3346,NCT04400279,ClinicalTrials.gov,21.05.2020,1.06.2020,FALSE,University,of,British,Columbia,Not,Recruiting,Not,Applicable,Interventional,Canada,The,COVID-19,Pandemic,and,Exercise,Study,COPE,Other,(exercise),Exercise,Exercise,334,20.09.2020,20.11.2020,https://clinicaltrials.gov/show/NCT04400279,No,Results,No,Results,No,Results,31.08.2020,None,
3347,NCT04401423,ClinicalTrials.gov,21.05.2020,1.08.2020,FALSE,Columbia,University,Recruiting,Phase,2,Interventional,United,States,TXA127,for,the,Treatment,of,Severe,COVID-19,,Drug,TXA127,TXA127,100,21.06.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04401423,No,Results,No,Results,No,Results,31.08.2020,None,,,
3354,NCT04422561,ClinicalTrials.gov,6.06.2020,31.05.2020,TRUE,Zagazig,University,Not,Recruiting,Phase,2/Phase,3,Interventional,Egypt,Prophylactic,Ivermectin,in,COVID-19,Contacts,,Drug,(Chemoprophylaxis),Ivermectin,Ivermectin,340,14.07.2020,27.07.2020,https://clinicaltrials.gov/show/NCT04422561,Registry,Results,27.08.2020,https://clinicaltrials.gov/ct2/show/results/NCT04422561,31.08.2020,None,,,,,
3357,NCT04432272,ClinicalTrials.gov,12.06.2020,16.07.2020,FALSE,William,Beaumont,Hospitals,Recruiting,Phase,2,Interventional,United,States,ANTIBODY-LEVEL,BASED,ANALYSIS,OF,COVID-19,CONVALESCENT,SERUM,(ABACCuS),ABACCuS,ATMP,Plasma,Plasma,500,21.06.2020,21.08.2020,https://clinicaltrials.gov/show/NCT04432272,No,Results,No,Results,No,Results,31.08.2020,None,
3360,NCT04439006,ClinicalTrials.gov,17.06.2020,22.07.2020,FALSE,Jennifer,Woyach,Recruiting,Phase,2,Interventional,United,States,Ibrutinib,for,the,Treatment,of,COVID-19,in,Patients,Requiring,Hospitalization,,Drug,Ibrutinib,Ibrutinib,72,31.12.2021,31.12.2022,https://clinicaltrials.gov/show/NCT04439006,No,Results,No,Results,No,Results,31.08.2020,None
3362,NCT04443673,ClinicalTrials.gov,18.06.2020,20.08.2020,FALSE,Instituto,Nacional,de,Enfermedades,Respiratorias,Recruiting,Not,Applicable,Interventional,Mexico,Glycine,Supplement,for,Severe,COVID-19,,Supplement,Glycine,Glycine,82,28.02.2021,30.06.2021,https://clinicaltrials.gov/show/NCT04443673,No,Results,No,Results,No,Results,31.08.2020,None,,,
3369,NCT04463472,ClinicalTrials.gov,8.07.2020,29.06.2020,TRUE,AnGes,,Inc.,Not,Recruiting,Phase,1/Phase,2,Interventional,Japan,Study,of,COVID-19,DNA,Vaccine,(AG0301-COVID19),,ATMP,Vaccine,Vaccine,30,28.09.2020,31.07.2021,https://clinicaltrials.gov/show/NCT04463472,No,Results,No,Results,No,Results,31.08.2020,None,,
3370,NCT04473053,ClinicalTrials.gov,9.07.2020,3.07.2020,TRUE,University,of,Edinburgh,Recruiting,Phase,2/Phase,3,Interventional,United,Kingdom,Rapid,Experimental,Medicine,for,COVID-19,DEFINE,Drug,Nafamostat,Mesilate,vs.,TD139,Nafamostat,Mesilate,,,,,,,,,,,
3371,NCT04473053,ClinicalTrials.gov,9.07.2020,3.07.2020,TRUE,University,of,Edinburgh,Recruiting,Phase,2/Phase,3,Interventional,United,Kingdom,Rapid,Experimental,Medicine,for,COVID-19,DEFINE,Drug,Nafamostat,Mesilate,vs.,TD139,Nafamostat,Mesilate,,,,,,,,,,,
3376,NCT04491994,ClinicalTrials.gov,28.07.2020,10.04.2020,TRUE,UNICEF,Not,Recruiting,Phase,3,Interventional,Pakistan,Clearing,the,Fog:,Is,Hydroxychloroquine,Effective,in,Reducing,COVID-19,Progression,COVID-19,Other,Hydroxychloroquine,Hydroxychloroquine,540,31.05.2020,31.05.2020,https://clinicaltrials.gov/show/NCT04491994,Pre-Print,Article,8.04.2020,https://doi.org/10.1101/2020.07.30.20165365,31.08.2020,None,,,
3377,NCT04499313,ClinicalTrials.gov,27.07.2020,2.08.2020,FALSE,Chattogram,General,Hospital,Recruiting,Phase,3,Interventional,Bangladesh,Dexamethasone,Vs,Methylprednisolone,for,the,Treatment,of,Patients,With,ARDS,Caused,by,COVID-19,,Drug,Corticosteroids,Dexamethasone,,,,,,,,,
3379,NCT04508075,ClinicalTrials.gov,7.08.2020,10.08.2020,FALSE,PT,Bio,Farma,Recruiting,Phase,3,Interventional,Indonesia,Efficacy,,Safety,and,Immunogenicity,Study,of,SARS-CoV-2,Inactivated,Vaccine,COVID-19,ATMP,Vaccine,Vaccine,1620,21.01.2020,21.09.2020,https://clinicaltrials.gov/show/NCT04508075,No,Results,No,Results,No,Results,31.08.2020,None
3381,NCT04508985,ClinicalTrials.gov,10.08.2020,1.09.2020,FALSE,McGill,University,Not,Recruiting,Not,Applicable,Interventional,No,Country,Given,The,McGill,RAAS-COVID-19,Trial,RAAS-COVID,Drug,RAAS,inhibitor,RAAS,inhibitor,40,1.01.2021,1.09.2021,https://clinicaltrials.gov/show/NCT04508985,No,Results,No,Results,No,Results,31.08.2020,None,,
3395,NCT04519216,ClinicalTrials.gov,12.08.2020,31.07.2020,TRUE,University,of,California,,Davis,Recruiting,Not,Applicable,Interventional,United,States,Breastfeeding,Education,in,the,Time,of,COVID-19,,Other,Other,Other,39,30.06.2021,30.09.2021,https://clinicaltrials.gov/show/NCT04519216,No,Results,No,Results,No,Results,31.08.2020,None
3399,NCT04519385,ClinicalTrials.gov,17.08.2020,1.03.2020,TRUE,South,Valley,University,Not,Recruiting,Not,Applicable,Interventional,Egypt,Toclizumam,Versus,Dexamethasone,in,Severe,Covid-19,Cases,,Drug,Tocilizumab,vs.,Dexamethasone,Tocilizumab,,,,,,,,,,,,
3427,NCT04526717,ClinicalTrials.gov,30.07.2020,1.12.2020,FALSE,Joseah,Bio,Not,Recruiting,Phase,1,Interventional,No,Country,Given,Heat,Shock,Protein,Inhibitor-,MPT0B640,for,COVID-19,Infection,,Drug,MPT0B640,MPT0B640,15,21.12.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04526717,No,Results,No,Results,No,Results,31.08.2020,None
3431,ACTRN12620000843954,ANZCTR,26.08.2020,1.09.2020,FALSE,Peter,MacCallum,Cancer,Centre,Not,Recruiting,Phase,3,Interventional,Australia,C-SMART.,,,,,,,,,,,,,,,,,,,,,,,
3432,ACTRN12620000842965,ANZCTR,26.08.2020,1.09.2020,FALSE,Peter,MacCallum,Cancer,Centre,Not,Recruiting,Phase,3,Interventional,Australia,C-SMART.,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,Prevention,and,Treatment,in,Cancer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,ACTRN12620000841976,ANZCTR,26.08.2020,1.09.2020,FALSE,Peter,MacCallum,Cancer,Centre,Not,Recruiting,Phase,3,Interventional,Australia,C-SMART.,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,Prevention,and,Treatment,in,Cancer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,ACTRN12620000844943,ANZCTR,26.08.2020,1.09.2020,FALSE,Peter,MacCallum,Cancer,Centre,Not,Recruiting,Phase,3,Interventional,Australia,C-SMART.,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,Prevention,and,Treatment,in,Cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,NCT04334148,ClinicalTrials.gov,2.04.2020,22.04.2020,FALSE,Adrian,Hernandez,Recruiting,Phase,3,Interventional,United,States,Healthcare,Worker,Exposure,Response,and,Outcomes,of,Hydroxychloroquine,HERO-HCQ,Drug,(Chemoprophylaxis),Hydroxychloroquine,Hydroxychloroquine,2000,20.12.2020,21.01.2020,https://clinicaltrials.gov/show/NCT04334148,No,Results,No,Results,No,Results,7.09.2020,None,
3452,NCT04362176,ClinicalTrials.gov,21.04.2020,24.04.2020,FALSE,Vanderbilt,University,Recruiting,Phase,3,Interventional,United,States,Passive,Immunity,Trial,Of,the,Nation,for,COVID-19,PassItOnII,ATMP,Plasma,Plasma,500,21.04.2020,21.04.2020,https://clinicaltrials.gov/show/NCT04362176,No,Results,No,Results,No,Results,7.09.2020,None,,
3457,NCT04372056,ClinicalTrials.gov,29.04.2020,6.05.2020,FALSE,Oslo,University,Hospital,Recruiting,Not,Applicable,Observational,Norway,The,COVID-ICU,Healthcare,Professional,Study,,Other,No,Intervention,No,Intervention,2200,6.05.2021,6.05.2021,https://clinicaltrials.gov/show/NCT04372056,No,Results,No,Results,No,Results,7.09.2020,None,,,
3464,NCT04397588,ClinicalTrials.gov,19.05.2020,21.04.2020,TRUE,Rennes,University,Hospital,Recruiting,Not,Applicable,Observational,France,Extracorporeal,Membrane,Oxygenation,(ECMO),and,Coronavirus,Disease,(COVID),19,ECMO-SARS,Other,Oxygen,Oxygen,300,21.10.2020,21.10.2020,https://clinicaltrials.gov/show/NCT04397588,No,Results,No,Results,No,Results,7.09.2020,None,
3470,NCT04425720,ClinicalTrials.gov,2.06.2020,31.08.2020,FALSE,Montefiore,Medical,Center,Not,Recruiting,Not,Applicable,Interventional,United,States,Use,of,Remote,Monitoring,for,COVID-19,Patient,RPM,Other,(device),Biosensors,Biosensors,300,1.06.2021,1.06.2021,https://clinicaltrials.gov/show/NCT04425720,No,Results,No,Results,No,Results,7.09.2020,None
3486,NCT04500418,ClinicalTrials.gov,4.08.2020,25.08.2020,FALSE,Charité,University,Recruiting,Phase,2,Interventional,Germany,Charité,Trial,of,Cenicriviroc,(CVC),Treatment,for,COVID-19,Patients,,Drug,Cenicriviroc,Cenicriviroc,183,30.09.2021,30.09.2021,https://clinicaltrials.gov/show/NCT04500418,No,Results,No,Results,No,Results,7.09.2020,None,,
3489,NCT04517396,ClinicalTrials.gov,17.08.2020,18.08.2020,FALSE,University,of,Pennsylvania,Recruiting,Not,Applicable,Interventional,United,States,FEnofibRate,as,a,Metabolic,INtervention,for,COVID-19,FERMIN,Drug,Fenofibrate,Fenofibrate,300,31.08.2021,31.08.2021,https://clinicaltrials.gov/show/NCT04517396,No,Results,No,Results,No,Results,7.09.2020,None,,
3494,NCT04523090,ClinicalTrials.gov,20.08.2020,27.08.2020,FALSE,University,of,Cape,Town,Recruiting,Phase,2/Phase,3,Interventional,South,Africa,Catalysing,the,Containment,of,COVID-19,C3-RCT,Drug,Nitazoxanide,Nitazoxanide,960,21.04.2020,21.08.2020,https://clinicaltrials.gov/show/NCT04523090,No,Results,No,Results,No,Results,7.09.2020,None,,
3502,NCT04527315,ClinicalTrials.gov,24.08.2020,17.07.2020,TRUE,NYU,Langone,Health,Recruiting,Not,Applicable,Observational,United,States,COVID-19,Survivorship,Registry,,Clinical,Presentation,(Epidemiology),No,Intervention,No,Intervention,350,23.08.2020,23.08.2020,https://clinicaltrials.gov/show/NCT04527315,No,Results,No,Results,No,Results,7.09.2020,None,,
3506,NCT04527562,ClinicalTrials.gov,25.08.2020,14.07.2020,TRUE,Dhaka,Medical,College,Recruiting,Not,Applicable,Interventional,Bangladesh,Colchicine,in,Moderate,Symptomatic,COVID-19,Patients,COLCOVIDBD,Drug,Colchicine,Colchicine,300,20.12.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04527562,No,Results,No,Results,No,Results,7.09.2020,None,,,,
3508,NCT04528641,ClinicalTrials.gov,19.08.2020,10.08.2020,TRUE,ReiThera,Srl,Recruiting,Phase,1,Interventional,Italy,GRAd-COV2,Vaccine,Against,COVID-19,,ATMP,Vaccine,Vaccine,90,31.07.2021,31.07.2021,https://clinicaltrials.gov/show/NCT04528641,No,Results,No,Results,No,Results,7.09.2020,None,,,,,,,
3510,NCT04528771,ClinicalTrials.gov,25.08.2020,31.10.2020,FALSE,Robert,Schilz,Not,Recruiting,Phase,1,Interventional,United,States,S-Nitrosylation,Therapy,of,COVID-19,,Drug,S-Nitrosylation,S-Nitrosylation,21,31.03.2021,30.04.2021,https://clinicaltrials.gov/show/NCT04528771,No,Results,No,Results,No,Results,7.09.2020,None,,,,,
3513,NCT04529421,ClinicalTrials.gov,25.08.2020,1.09.2020,FALSE,Oslo,Metropolitan,University,Not,Recruiting,Not,Applicable,Observational,Norway,Assocation,Between,In-person,Instruction,and,COVID-19,Risk,Campus&Corona,Other,Other,Other,70000,20.12.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04529421,No,Results,No,Results,No,Results,7.09.2020,None,,
3518,NCT04530474,ClinicalTrials.gov,26.08.2020,1.10.2020,FALSE,Temple,University,Not,Recruiting,Phase,3,Interventional,United,States,Outpatient,Use,of,Ivermectin,in,COVID-19,,Drug,Ivermectin,Ivermectin,200,30.06.2021,31.12.2021,https://clinicaltrials.gov/show/NCT04530474,No,Results,No,Results,No,Results,7.09.2020,None,,,
3520,NCT04530578,ClinicalTrials.gov,17.08.2020,1.06.2020,TRUE,Clinica,San,Camilo,,Argentina,Recruiting,Phase,4,Interventional,Argentina,Nebulized,Heparin,in,Severe,Acute,Respiratory,Syndrome,COVID-19,NEBUHEPA,Drug,Heparin,Heparin,200,30.10.2020,1.06.2021,https://clinicaltrials.gov/show/NCT04530578,No,Results,No,Results,No,Results,7.09.2020,None
3524,NCT04531202,ClinicalTrials.gov,26.08.2020,2.03.2020,TRUE,D'Or,Institute,for,Research,and,Education,Recruiting,Not,Applicable,Observational,Brazil,CORE,Study,COVID-19,,Clinical,Presentation,No,Intervention,No,Intervention,2000,30.09.2020,30.09.2021,https://clinicaltrials.gov/show/NCT04531202,No,Results,No,Results,No,Results,7.09.2020,None,
3525,NCT04531254,ClinicalTrials.gov,24.08.2020,10.08.2020,TRUE,The,Hospital,for,Sick,Children,Not,Recruiting,Not,Applicable,Observational,Canada,Back,to,School,COVID-19,Simulation,Study,,Other,Other,Other,240,20.10.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04531254,No,Results,No,Results,No,Results,7.09.2020,None,
3529,NCT04531618,ClinicalTrials.gov,19.08.2020,13.08.2020,TRUE,Columbia,University,Recruiting,Not,Applicable,Interventional,United,States,Mother-infant,Bonding,During,COVID-19,,Other,Other,Other,280,21.12.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04531618,No,Results,No,Results,No,Results,7.09.2020,None,,,,,,
3532,NCT04532411,ClinicalTrials.gov,25.08.2020,1.03.2020,TRUE,Massachusetts,General,Hospital,Not,Recruiting,Not,Applicable,Observational,United,States,COVID-19,Testing,Sample,Acquisition,Throughput,and,Efficiency,HexapodBooth,Other,Other,Other,25000,30.09.2020,30.09.2020,https://clinicaltrials.gov/show/NCT04532411,No,Results,No,Results,No,Results,7.09.2020,None,
3543,ISRCTN33260034,ISRCTN,20.08.2020,20.10.2020,FALSE,University,of,Oxford,Recruiting,Phase,2,Interventional,United,Kingdom,Adalimumab,for,coronavirus,in,community,care,,Drug,Adalimumab,Adalimumab,750,Not,Available,31.12.2021,http://isrctn.com/ISRCTN33260034,No,Results,No,Results,No,Results,7.09.2020,None,,
3554,JPRN-jRCT2071200023,JPRN,21.07.2020,22.07.2020,FALSE,Miyazaki,Taiga,Recruiting,Phase,1/Phase,2,Interventional,Japan,Evaluation,of,Nelfinavir,for,asymptomatic,and,mild,COVID-19,,Drug,Nelfinavir,Nelfinavir,120,Not,Available,Not,Available,https://jrct.niph.go.jp/latest-detail/jRCT2071200023,No,Results,No,Results,No,Results,7.09.2020,None
3556,JPRN-jRCTs041190120,JPRN,2.03.2020,2.03.2020,FALSE,Doi,Yohei,Not,Recruiting,Phase,2,Interventional,Japan,Favipiravir,for,SARS-CoV-infected,patients,,Drug,Favipiravir,Favipiravir,86,Not,Available,15.06.2020,https://jrct.niph.go.jp/latest-detail/jRCTs041190120,Registry,Results,31.08.2020,https://jrct.niph.go.jp/en-latest-detail/jRCTs041190120,7.09.2020,None,,,,,,,
3582,IRCT20200509047364N2,IRCT,17.08.2020,21.06.2020,TRUE,Bandare-abbas,University,of,Medical,Sciences,Recruiting,Phase,3,Interventional,Iran,Famotidine,and,COVID-19,,Drug,Famotidine,+,Hydroxychloroquine/Chloroquine,+,Lopinavir/Atazanavir/Ritonavir,vs.,Hydroxychloroquine/Chloroquine,+,Lopinavir/Atazanavir/Ritonavir,Famotidine,,,,,,,,,
3591,IRCT20200506047323N5,IRCT,14.08.2020,22.08.2020,FALSE,Bandare-abbas,University,of,Medical,Sciences,Recruiting,Phase,3,Interventional,Iran,Melatonin,in,COVID-19,,Drug,Melatonin,+,Hydroxychloroquine,vs.,Hydroxychloroquine,Melatonin,,,,,,,,,,,,,
3609,NCT04348305,ClinicalTrials.gov,11.04.2020,17.04.2020,TRUE,Scandinavian,Critical,Care,Trials,Group,Not,Recruiting,Phase,3,Interventional,Denmark,Hydrocortisone,for,COVID-19,and,Severe,Hypoxia,COVID,STEROID,Drug,Corticosteroids,Hydrocortisone,1000,10.09.2020,8.06.2021,https://clinicaltrials.gov/show/NCT04348305,No,Results,No,Results,No,Results,14.09.2020,EUCTR2020-001395-15
3611,NCT04353284,ClinicalTrials.gov,16.04.2020,19.06.2020,FALSE,Yale,University,Recruiting,Phase,2,Interventional,United,States,Camostat,Mesylate,in,COVID-19,Outpatients,,Drug,Camostat,Mesilate,Camostat,Mesilate,114,31.05.2021,31.05.2021,https://clinicaltrials.gov/show/NCT04353284,No,Results,No,Results,No,Results,14.09.2020,None,,,
3612,NCT04354701,ClinicalTrials.gov,16.04.2020,17.03.2020,TRUE,Vanderbilt-Ingram,Cancer,Center,Recruiting,Not,Applicable,Observational,United,States,COVID-19,and,Cancer,Consortium,Registry,CCC19,Clinical,Presentation,No,Intervention,No,Intervention,10000,21.12.2020,22.12.2020,https://clinicaltrials.gov/show/NCT04354701,No,Results,No,Results,No,Results,14.09.2020,None,
3614,NCT04356690,ClinicalTrials.gov,17.04.2020,8.05.2020,FALSE,Boston,Medical,Center,Recruiting,Phase,2,Interventional,United,States,Etoposide,in,Patients,With,COVID-19,Infection,,Drug,Etoposide,Etoposide,64,20.12.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04356690,No,Results,No,Results,No,Results,14.09.2020,None,,,
3621,NCT04372628,ClinicalTrials.gov,30.04.2020,1.06.2020,FALSE,Vanderbilt,University,Recruiting,Phase,2,Interventional,United,States,Trial,of,Early,Therapies,During,Non-hospitalized,Outpatient,Window,for,COVID-19,TREATNOW,Drug,Hydroxychloroquein,vs.,Lopinavir/ritonavir,Hydroxychloroquein,,,,,,,,,,
3627,NCT04382625,ClinicalTrials.gov,14.04.2020,1.10.2020,FALSE,Kootenai,Health,Not,Recruiting,Phase,4,Interventional,United,States,Hydroxychloroquine,in,SARS-CoV-2,(COVID-19),Pneumonia,Trial,,Drug,Hydroxychloroquine,Hydroxychloroquine,120,1.01.2022,1.06.2022,https://clinicaltrials.gov/show/NCT04382625,No,Results,No,Results,No,Results,14.09.2020,None,,,
3629,NCT04384055,ClinicalTrials.gov,8.05.2020,21.03.2020,TRUE,Stanford,University,Recruiting,Not,Applicable,Observational,United,States,Predicting,Outcomes,for,Covid-19,Using,Sonography,POCUS,Prognosis,No,Intervention,No,Intervention,200,31.12.2020,31.12.2020,https://clinicaltrials.gov/show/NCT04384055,Pre-Print,Article,28.06.2020,https://doi.org/10.1101/2020.06.25.20140392,14.09.2020,None,,,,
3632,NCT04389411,ClinicalTrials.gov,13.05.2020,1.10.2020,FALSE,McGill,University,Not,Recruiting,Phase,3,Interventional,No,Country,Given,The,COvid-19,Symptom,MOntelukast,Trial,COSMO,Drug,Montelukast,Montelukast,600,21.09.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04389411,No,Results,No,Results,No,Results,14.09.2020,None,,,
3636,NCT04390269,ClinicalTrials.gov,12.05.2020,10.09.2020,FALSE,Mansoura,University,Not,Recruiting,Not,Applicable,Observational,Egypt,Immunogenetics,Predictors,With,COVID-19,,Clinical,Presentation,No,Intervention,No,Intervention,200,10.10.2020,9.05.2022,https://clinicaltrials.gov/show/NCT04390269,No,Results,No,Results,No,Results,14.09.2020,None,,,
3638,NCT04391127,ClinicalTrials.gov,12.05.2020,4.05.2020,TRUE,Centenario,Hospital,Miguel,Hidalgo,Not,Recruiting,Phase,3,Interventional,Mexico,Hydroxychloroquine,and,Ivermectin,for,the,Treatment,of,COVID-19,Infection,,Drug,Hydroxychloroquine,vs.,Ivermectin,Hydroxychloroquine,,,,,,,,,
3639,NCT04392427,ClinicalTrials.gov,12.05.2020,1.10.2020,FALSE,Mansoura,University,Not,Recruiting,Phase,3,Interventional,Egypt,New,Antiviral,Drugs,for,Treatment,of,COVID-19,,Drug,Nitazoxanide,+,Ribavirin,+,Ivermectin,Nitazoxanide,,,,,,,,,,,
3642,NCT04396600,ClinicalTrials.gov,23.04.2020,8.06.2020,FALSE,University,of,Minnesota,Recruiting,Not,Applicable,Observational,United,States,The,Professional,Peer,Resilience,Initiative,PPRI,Other,(psych),Psychological,Psychological,1200,25.05.2022,25.05.2022,https://clinicaltrials.gov/show/NCT04396600,No,Results,No,Results,No,Results,14.09.2020,None,,,
3657,NCT04457349,ClinicalTrials.gov,30.06.2020,25.07.2020,FALSE,Alexandria,University,Recruiting,Not,Applicable,Interventional,Egypt,Therapeutic,Plasma,Exchange,in,Resistant,Cytokine,Storm,of,COVID,19,,ATMP,Plasma,Plasma,10,29.11.2020,29.12.2020,https://clinicaltrials.gov/show/NCT04457349,No,Results,No,Results,No,Results,14.09.2020,None,
3658,NCT04460664,ClinicalTrials.gov,30.06.2020,14.08.2020,FALSE,HemoSonics,LLC,Recruiting,Not,Applicable,Observational,United,States,Coagulation,Changes,Associated,With,COVID-19,Infection,,Clinical,Presentation,No,Intervention,No,Intervention,50,31.01.2021,15.02.2021,https://clinicaltrials.gov/show/NCT04460664,No,Results,No,Results,No,Results,14.09.2020,None,
3659,NCT04460677,ClinicalTrials.gov,6.07.2020,12.08.2020,FALSE,Rutgers,University,Recruiting,Not,Applicable,Interventional,United,States,ASD,(Autism,Spectrum,Disorder),Telehealth,for,Distress,Related,to,COVID-19,,Telehealth,Telehealth,Telehealth,80,31.03.2021,31.03.2021,https://clinicaltrials.gov/show/NCT04460677,No,Results,No,Results,No,Results,14.09.2020,None
3660,NCT04461340,ClinicalTrials.gov,4.07.2020,15.08.2020,FALSE,Alexandria,University,Recruiting,Phase,2,Interventional,Egypt,Efficacy,and,Safety,of,Sirolimus,in,COVID-19,Infection,,Drug,Sirolimus,Sirolimus,40,30.10.2020,30.11.2020,https://clinicaltrials.gov/show/NCT04461340,No,Results,No,Results,No,Results,14.09.2020,None,,,
3661,NCT04466657,ClinicalTrials.gov,9.07.2020,1.11.2020,FALSE,Obafemi,Awolowo,University,Not,Recruiting,Not,Applicable,Interventional,Nigeria,Antioxidant,Therapy,for,COVID-19,Study,GSHSOD-COVID,Supplement,Nutritional,Supplement,Nutritional,Supplement,90,28.02.2021,30.04.2021,https://clinicaltrials.gov/show/NCT04466657,No,Results,No,Results,No,Results,14.09.2020,None,,
3662,NCT04468256,ClinicalTrials.gov,9.07.2020,26.07.2020,FALSE,Imperial,College,London,Recruiting,Not,Applicable,Observational,United,Kingdom,The,Heart,Hive,COVID-19,Study,,Clinical,Presentation,No,Intervention,No,Intervention,1000,22.07.2020,22.07.2020,https://clinicaltrials.gov/show/NCT04468256,No,Results,No,Results,No,Results,14.09.2020,None,
3663,NCT04468386,ClinicalTrials.gov,8.07.2020,7.07.2020,TRUE,Biomerica,Not,Recruiting,Not,Applicable,Observational,United,States,Specimen,Collection,Study,Protocol,,Clinical,Presentation,(Epidemiology),No,Intervention,No,Intervention,40,30.09.2020,30.09.2020,https://clinicaltrials.gov/show/NCT04468386,No,Results,No,Results,No,Results,14.09.2020,None,,
3671,NCT04484493,ClinicalTrials.gov,22.07.2020,8.08.2020,FALSE,Benha,University,Not,Recruiting,Phase,3,Interventional,Egypt,Corticosteroid,Nasal,Spray,in,COVID-19,Anosmia,,Drug,Corticosteroids,momentasone,furatenasal,50,25.10.2020,3.11.2020,https://clinicaltrials.gov/show/NCT04484493,No,Results,No,Results,No,Results,14.09.2020,None,,,
3673,NCT04492943,ClinicalTrials.gov,24.04.2020,20.04.2020,TRUE,Massachusetts,General,Hospital,Not,Recruiting,Not,Applicable,Observational,United,States,To,Observe,Whether,Isoflurane,Can,Treat,COVID-19,Patients,,Drug,Isoflurane,Isoflurane,35,30.06.2020,30.06.2020,https://clinicaltrials.gov/show/NCT04492943,No,Results,No,Results,No,Results,14.09.2020,None
3699,NCT04536298,ClinicalTrials.gov,27.08.2020,15.09.2020,FALSE,Brigham,and,Women's,Hospital,Not,Recruiting,Phase,3,Interventional,United,States,Vitamin,D,and,COVID-19,Trial,VIVID,Drug,Vitamin,D,Vitamin,D,2700,1.03.2021,1.03.2021,https://clinicaltrials.gov/show/NCT04536298,No,Results,No,Results,No,Results,14.09.2020,None
3700,NCT04536350,ClinicalTrials.gov,21.08.2020,1.09.2020,FALSE,Dr.,Jorg,Leuppi,Not,Recruiting,Phase,1,Interventional,Switzerland,Inhaled,Aviptadil,for,the,Prevention,of,COVID-19,Related,ARDS,,Drug,Aviptadil,Aviptadil,80,21.12.2020,22.03.2020,https://clinicaltrials.gov/show/NCT04536350,No,Results,No,Results,No,Results,14.09.2020,None
3716,NCT04539834,ClinicalTrials.gov,1.09.2020,1.05.2020,TRUE,Zagazig,University,Not,Recruiting,Not,Applicable,Observational,Egypt,Electrolyte,State,in,Patients,With,COVID-19,,Clinical,Presentation,No,Intervention,No,Intervention,52,1.08.2020,1.10.2020,https://clinicaltrials.gov/show/NCT04539834,No,Results,No,Results,No,Results,14.09.2020,None,
3720,NCT04540393,ClinicalTrials.gov,26.08.2020,26.08.2020,FALSE,AstraZeneca,Not,Recruiting,Phase,3,Interventional,Russian,Federation,AZD1222,Vaccine,for,the,Prevention,of,COVID-19,,ATMP,Vaccine,Vaccine,100,12.03.2021,12.03.2021,https://clinicaltrials.gov/show/NCT04540393,No,Results,No,Results,No,Results,14.09.2020,None,,,
3725,NCT04542434,ClinicalTrials.gov,4.09.2020,1.11.2020,FALSE,First,Wave,Bio,,Inc.,Not,Recruiting,Phase,2,Interventional,No,Country,Given,Niclosamide,in,COVID-19,,Drug,Niclosamide,Niclosamide,148,1.05.2021,1.05.2021,https://clinicaltrials.gov/show/NCT04542434,No,Results,No,Results,No,Results,14.09.2020,None,,
